description,business_tags,sector,category,niche,candidate_labels,candidate_sim_scores,zero_shot_scores,final_labels
"Halle Heat Exchange Equipment Co., Ltd is a Chinese company that specializes in the production and sales of heat exchangers. Their main products include plate-type heat exchanger, welded panel type heat exchang, ground heating water distributors, stainless steel water divider, and overheated hot water coolers. The company has an in-depth knowledge team with high-quality technical expertise and is equipped with many varieties of excellent equipment for producing heat exchiders. Halle Heat Exchanger Equipment Co, Ltd is committed to achieving innovative products and technologies for efficient heat transfer and reducing natural resource consumption. They provide a knowledge-intensive approach to further optimize heating or cooling treatments for various process equipment. The Halley plate heat exchider has a very high thermal transfer efficiency compared to traditional welded-plated heat exchanders and is compact in structure. The heat exchuder is mainly used in the development of the fastener industry.","['Technology Products and Solutions', 'Welded Heat Exchangers Manufacturer', 'Ground Water Heating Engineering Services Supplier', 'Stainless Steel Water Distributors', 'Heat Treatment for Export']",Manufacturing,Industrial Air Solutions,Power Boiler and Heat Exchanger Manufacturing,"['Boiler Installation Services', 'Boiler Repair Services', 'Roofing Services with Heat Application', 'Welding Services', 'Insulation Services', 'Industrial Plumbing Services', 'Sheet Metal Services', 'HVAC Installation and Service', 'Ice Production Services', 'Field Welding Services']","[0.4822217, 0.4593026, 0.441006, 0.37332073, 0.37298495, 0.37047687, 0.3610508, 0.35975358, 0.35534212, 0.33722478]","{'Boiler Installation Services': 0.08409352600574493, 'Boiler Repair Services': 0.020019346848130226, 'Roofing Services with Heat Application': 0.017245031893253326, 'Welding Services': 0.04590379819273949, 'Insulation Services': 0.009934707544744015, 'Industrial Plumbing Services': 0.0031272221822291613, 'Sheet Metal Services': 0.03325590863823891, 'HVAC Installation and Service': 0.06130916625261307, 'Ice Production Services': 0.028491107746958733, 'Field Welding Services': 0.03020647168159485}",[]
"Ballymacarbry Elders Housing Association Ltd. is a registered charity in Ireland that aims to provide quality, age-friendly, and sustainable homes for older people in the local community who require them. Their goal is to enable these individuals to live independently for as long as possible. The association offers 1 & 2 bedroom terrace houses in three blocks, consisting of single storey, semi-detached, back and front gardens, each with an entrance hall, kitchen/living room, 2 bedrooms, and walk-in shower. The houses are well-insulated and have a BER rating of A3. The community center adjacent to the houses includes a library, a social club with entertainment, a caretaker and health center, and a daily bus service to Clonmel and Dungarvan. The development is located in the village of Ballymacarrow, surrounded by private grounds and close to the Nire River.","['Sustainable Homes', 'Residential Terraces', 'Clubhouse and Dinner Club Services', 'Single-storey Homes', 'Entrance Hall', 'Daily Bus Services', 'Caretaker and Health Centre Services', 'Semi-Detached House', 'Age-friendly Homes', 'Kitchen & Living Room', 'Community Center', 'Class Teaching Services', 'Non-profit Organization', 'Front Garden Houses', 'Walk-in Shower Houses', 'Social Club Services', '3 Residential Blocks', 'Housing Association', 'Lunch Service', 'High-quality Homes', 'A3 Rating Houses', 'Gym Facilities', 'Music and Entertainment Services', '55+ Housing Development', 'Independent Living Support', 'Lovely Walks Services', 'Bingo Services', 'Insulated Homes', 'Card Game Services', 'Library Services']",Services,Housing Programs,Other Community Housing Services,"['Community Engagement Services', 'Residential Plumbing Services', 'General Handyman Services', 'Environmental Health Services', 'Volunteer Services', 'Occupational Health Services', 'Waste Management Services', 'Multi-Family Construction Services', 'Septic System Services', 'Single Family Residential Construction']","[0.3538819, 0.3193866, 0.3112735, 0.30976087, 0.3081781, 0.30556837, 0.30552703, 0.30193403, 0.29804295, 0.2972232]","{'Community Engagement Services': 0.686619758605957, 'Residential Plumbing Services': 0.00957554578781128, 'General Handyman Services': 0.009364818222820759, 'Environmental Health Services': 0.014440501108765602, 'Volunteer Services': 0.06321075558662415, 'Occupational Health Services': 0.008553333580493927, 'Waste Management Services': 0.002316955244168639, 'Multi-Family Construction Services': 0.0055784983560442924, 'Septic System Services': 0.013795875012874603, 'Single Family Residential Construction': 0.7963189482688904}","['Community Engagement Services', 'Single Family Residential Construction']"
"An Nhien Scientific Equipment Co., Ltd. (AnNhien) is a company that specializes in the distribution of scientific equipment, reagents, probiotics, and consumables for various industries such as life science research, chemistry, biomedicine, clinical diagnostic, veterinary, food hygiene, environmental monitoring, and quality control. They offer a range of products including sterilization products, biological and chemical indicators, sterilization packing, labwares and consumable products, plasticwares, cell culture, micro and molecular biology, handling and storage, specimen collection, microbiology and storage solutions, reagent and probiotic products, microbial identification, enzymes and prepared enzymes, and culture media. The company is committed to providing high-quality products and technology to its customers and contributing to the development of science, technology, and economy in Vietnam.","['Sterilization Products', 'Biological Indicators', 'Consumables Distribution', 'Chemical Indicators', 'Scientific Equipment Distribution', 'Reagents Distribution']",Manufacturing,Laboratory Equipment & Supplies,Analytical Laboratory Instrument Manufacturing,"['Laboratory Services', 'Pharmaceutical Manufacturing', 'Agricultural Equipment Services', 'Chemical Manufacturing', 'Accessory Manufacturing', 'Non-Alcoholic Beverage Manufacturing', 'Food Processing Services', 'Testing and Inspection Services', 'Seafood Processing Services', 'Confectionery Manufacturing']","[0.54359233, 0.46561736, 0.41416672, 0.4119171, 0.36420083, 0.35986704, 0.35441393, 0.3497557, 0.3486919, 0.34472242]","{'Laboratory Services': 0.2562243938446045, 'Pharmaceutical Manufacturing': 0.05941719189286232, 'Agricultural Equipment Services': 0.007192658260464668, 'Chemical Manufacturing': 0.05888655036687851, 'Accessory Manufacturing': 0.020679984241724014, 'Non-Alcoholic Beverage Manufacturing': 0.01877402514219284, 'Food Processing Services': 0.01539692934602499, 'Testing and Inspection Services': 0.04186290502548218, 'Seafood Processing Services': 0.009549296461045742, 'Confectionery Manufacturing': 0.0033068975899368525}",[]
"Anovei is a company that specializes in air treatment, purifier leasing, and nasal filtration research and development, as well as production.","['Innovative Solutions Provider', 'Technology Solutions', 'High-tech Solutions', 'Technology Consulting Services', 'Low Tech Firm', 'Air Treatment', 'Production', 'Technology Services', 'Nasal Filtration Research and Development', 'Purifier Leasing Services']",Manufacturing,Medical Supply Manufacturers,Irradiation Apparatus Manufacturing,"['Air Duct Cleaning Services', 'Water Treatment Services', 'Medical Gas Installation Services', 'Building Cleaning Services', 'Industrial Plumbing Services', 'Residential Plumbing Services', 'Gas Manufacturing Services', 'Window Treatment Manufacturing', 'Pharmaceutical Manufacturing', 'Veterinary Services']","[0.39809328, 0.3352103, 0.30195853, 0.28076214, 0.28050488, 0.27452576, 0.27342862, 0.27209163, 0.26698178, 0.2606402]","{'Air Duct Cleaning Services': 0.0020083803683519363, 'Water Treatment Services': 0.0006603983929380774, 'Medical Gas Installation Services': 0.004482512827962637, 'Building Cleaning Services': 0.0003647877601906657, 'Industrial Plumbing Services': 0.0002215030835941434, 'Residential Plumbing Services': 0.0002473365457262844, 'Gas Manufacturing Services': 0.005993714556097984, 'Window Treatment Manufacturing': 0.004892237018793821, 'Pharmaceutical Manufacturing': 0.002925767097622156, 'Veterinary Services': 0.0004582208348438144}",[]
"Db Motor Service di Damiano Barbato is an auto electrical service and auto repair shop located in Arzano, Campania, Italy.","['Diagnostic Services', 'Correct Diagnosis and Maintenance', 'Automobiles And Motorcycles', 'Parking Facilities', 'Bathroom Facilities', 'Auto Repair Service', 'Automotive Repair and Maintenance Services', 'Seating Options', 'Motorcycle Diagnosis and Repair Services', 'Mechanical and Electronic Workshop', 'Auto Electrical Services', 'Wheelchair Accessible Entrance']",Services,Auto Services,Specialized Automotive Repair,"['Commercial Electrical Services', 'Carpentry Services', 'Welding Services', 'Boiler Repair Services', 'General Handyman Services', 'Business Development Services', 'Road Maintenance Services', 'Field Welding Services', 'Testing and Inspection Services', 'Restoration Services']","[0.3833869, 0.368443, 0.3615715, 0.34950083, 0.33798856, 0.3375721, 0.33605498, 0.33167064, 0.31947953, 0.31729108]","{'Commercial Electrical Services': 0.025704186409711838, 'Carpentry Services': 0.0006845174939371645, 'Welding Services': 0.0011441493406891823, 'Boiler Repair Services': 0.0011810901341959834, 'General Handyman Services': 0.0015873740194365382, 'Business Development Services': 0.003868981497362256, 'Road Maintenance Services': 0.00363666913472116, 'Field Welding Services': 0.0017120727570727468, 'Testing and Inspection Services': 0.02016425132751465, 'Restoration Services': 0.002861625049263239}",[]
DOO Bački Petrovac is a Slovakian company that specializes in the production of raw materials and the wholesale of cleaning products. Their main focus is on producing raw powders and selling cleaning items.,"['Production', 'Wholesale Distribution', 'Cleaning Articles Manufacturer', 'Metal Circle Manufacturer']",Manufacturing,Cleaning Equipment & Supplies,Soap and Other Detergent Manufacturing,"['Pet Grooming Services', 'Pet Food Manufacturing', 'Coffee Processing Services', 'Pharmaceutical Manufacturing', 'Cosmetic Manufacturing', 'Carpet Manufacturing Services', 'Street Cleaning Operations', 'Building Cleaning Services', 'Waste Management Services', 'Textile Manufacturing Services']","[0.38489795, 0.38138753, 0.3408866, 0.34024918, 0.34024027, 0.33733243, 0.3363597, 0.32489988, 0.32359746, 0.3205539]","{'Pet Grooming Services': 0.006136241368949413, 'Pet Food Manufacturing': 0.0004512034065555781, 'Coffee Processing Services': 0.0008358171908184886, 'Pharmaceutical Manufacturing': 0.0007798591977916658, 'Cosmetic Manufacturing': 0.00044045946560800076, 'Carpet Manufacturing Services': 0.003438736544921994, 'Street Cleaning Operations': 0.006401169113814831, 'Building Cleaning Services': 0.05630691722035408, 'Waste Management Services': 0.0006270227022469044, 'Textile Manufacturing Services': 0.0007683602161705494}",[]
"Reparación Lavarropas Candy is a technical service and repair company that specializes in the repair and maintenance of washing machines. They offer same-day service in the Capital Federal, GBA Zona Norte, GGA Zona Oeste, and GBA Súbrica Zona Sur areas. Their main focus is on repairing and maintaining Candy washing machines, providing technical support to their customers.","['Home Care', 'Technical Service and Maintenance', 'Candy Washing Machine Repair Services']",Services,Appliance Repair & Maintenance,Appliance Repair and Maintenance,"['Confectionery Manufacturing', 'Coffee Processing Services', 'Restoration Services', 'Bakery Production Services', 'Food Processing Services', 'Millwork Services', 'Well Maintenance Services', 'Food Safety Services', 'Laboratory Services', 'Boiler Repair Services']","[0.43650672, 0.39089912, 0.38468796, 0.33857915, 0.32365912, 0.31779402, 0.30555767, 0.30553424, 0.29660726, 0.29395592]","{'Confectionery Manufacturing': 0.028664687648415565, 'Coffee Processing Services': 0.0010562478564679623, 'Restoration Services': 0.08836320787668228, 'Bakery Production Services': 0.002578824060037732, 'Food Processing Services': 0.001633183448575437, 'Millwork Services': 0.0068457783199846745, 'Well Maintenance Services': 0.2863747775554657, 'Food Safety Services': 0.0017517174128443003, 'Laboratory Services': 0.019435454159975052, 'Boiler Repair Services': 0.002912964904680848}",[]
"Ver Peliculas is a company that specializes in video conferencing solutions. They offer a range of products and services related to video conferecting, including AVer, Jean Paul, and Ver Pelicula.","['Metaverse Auctions Platform', 'Auction Services', 'Auction Via Video Conferencing']",Services,"Alarms, Surveillance & Security Systems",All Other Business Support Services,"['Media Production Services', 'Veterinary Services', 'Public Relations Services', 'Consulting Services', 'Veterinary Clinics', 'Advertising Services', 'Livestock Dealer Services', 'Stakeholder Services', 'Human Resources Services', 'Event Planning Services']","[0.3427084, 0.28231323, 0.2775961, 0.27460557, 0.26640338, 0.2661177, 0.26388013, 0.255625, 0.25425655, 0.25036353]","{'Media Production Services': 0.0014954839134588838, 'Veterinary Services': 0.0013759908033534884, 'Public Relations Services': 0.0012261453084647655, 'Consulting Services': 0.01261358056217432, 'Veterinary Clinics': 0.0017733132699504495, 'Advertising Services': 0.018881410360336304, 'Livestock Dealer Services': 0.005293411202728748, 'Stakeholder Services': 0.08234257996082306, 'Human Resources Services': 0.0017891902243718505, 'Event Planning Services': 0.001483014551922679}",[]
"Gina Crow is an Italian-American film director, writer, and producer based in Los Angeles, California. She has a background in music production and international DJing, and has worked on music videos, commercials, and narrative projects. Crow has collaborated with Fuse Technical Group, ARRI, Inc., and FotoKem to produce an action thriller short film called ""Dark in Berlin,"" which was shot on an LED volume stage using virtual production and stars Christine Ko and Miki Ishikawa. She is currently working on her debut feature film, which is expected to be released in spring 2024.","['Virtual Production Services', 'LED Volume Stage Film', 'Dark Thriller Short Film', 'Biopic Production', 'Music Video Production']",Services,Video and Audio Production,Motion Picture and Video Distribution,"['Media Production Services', 'Interior Design Services', 'Business Development Services', 'Public Relations Services', 'Painting Services', 'Arts Services', 'Graphic Design Services', 'Website Development Services', 'Residential Roofing Services', 'Content Creation Services']","[0.33626777, 0.21212447, 0.20913085, 0.20533963, 0.20438546, 0.19168013, 0.18194544, 0.17827368, 0.17464656, 0.17108196]","{'Media Production Services': 0.6721382141113281, 'Interior Design Services': 0.0020103848073631525, 'Business Development Services': 0.17180292308330536, 'Public Relations Services': 0.005975448992103338, 'Painting Services': 0.0036296765320003033, 'Arts Services': 0.21625816822052002, 'Graphic Design Services': 0.0030255448073148727, 'Website Development Services': 0.008985602296888828, 'Residential Roofing Services': 0.007100325543433428, 'Content Creation Services': 0.23103100061416626}",['Media Production Services']
"360Scooters is a company that offers electric scooter rental services in Tenerife, Canary Islands. They provide electric scooters for rent, allowing tourists to explore the cities of the island in a sustainable way. Customers can rent a scooter for a daily, weekly, or three-day period and pick it up in South Tenerije, Arona, Los Cristianos, Playa de Las Américas, and Adeje. The company is a leader in electric personal mobility and offers workshops, technical services, and online and physical sales of personal mobility vehicles.","['Electricity', 'Rental Services', 'Electric Scooter Rental Services', 'Online Sales', 'Personal Mobility Vehicles Sales', 'Sustainable Mobility Solutions', 'Technical Service Workshop']",Services,Car Rental,Home Health Equipment Rental,"['Travel Services', 'Pet Boarding Services', 'Pet Grooming Services', 'Residential Roofing Services', 'Mobile Home Construction Services', 'Commercial Electrical Services', 'Elevator Installation Services', 'Residential Electrical Services', 'Road Maintenance Services', 'Street Cleaning Operations']","[0.39976597, 0.34787378, 0.3409389, 0.34006262, 0.33922023, 0.3308731, 0.32493973, 0.31986833, 0.31920052, 0.31327736]","{'Travel Services': 0.02963939867913723, 'Pet Boarding Services': 0.003220407525077462, 'Pet Grooming Services': 0.0032663349993526936, 'Residential Roofing Services': 0.002648275578394532, 'Mobile Home Construction Services': 0.006431270390748978, 'Commercial Electrical Services': 0.03742741048336029, 'Elevator Installation Services': 0.003353461856022477, 'Residential Electrical Services': 0.17867730557918549, 'Road Maintenance Services': 0.0038211296778172255, 'Street Cleaning Operations': 0.001813524984754622}",[]
"Vision Express Opticians - Llanelli is an establishment located in Llanelli, Wales, United Kingdom. It operates as an optician, contact lenses supplier, eye care center, optometrist, and sunglasses store.","['In-store Shopping', 'Eye Care Services', 'Contact Lenses Retailer', 'Optician Services', 'Retail', 'Bathroom Facilities', 'In-store Pickup', 'Wheelchair Accessible Entrance']",Services,Optometrists,Offices of Optometrists,"['Travel Services', 'Consulting Services', 'Testing and Inspection Services', 'Legal Services', 'Carpentry Services', 'Fishing and Hunting Services', 'Commercial Electrical Services', 'Welding Services', 'Insurance Services', 'Veterinary Clinics']","[0.31332263, 0.29690534, 0.28322256, 0.27890489, 0.27632508, 0.26106057, 0.26063737, 0.25731745, 0.25216997, 0.24340095]","{'Travel Services': 0.0044597452506423, 'Consulting Services': 0.010036430321633816, 'Testing and Inspection Services': 0.0069348555989563465, 'Legal Services': 0.0030927506741136312, 'Carpentry Services': 0.00037123786751180887, 'Fishing and Hunting Services': 0.0006289779557846487, 'Commercial Electrical Services': 0.0005803449894301593, 'Welding Services': 0.000610584276728332, 'Insurance Services': 0.0007231745985336602, 'Veterinary Clinics': 0.0003014806716237217}",[]
"Solar Gold Dried Fruit is a company that specializes in producing dried fruits, including Mango, pineapple, and banana. They dry the Kent and Ataulfo varieties for their smooth texture and distinctive flavor, and preserve the digestive enzymes by ensuring the fruit never exceeds 35 degrees Celsius during the drying process. Their tropical mix is perfect for travel, lunch-boxes, and camping, and can be used as a replacement for raisins in cooking, salads, baking, and breakfast cereals. The company's products are high in potassium and magnesium, which help maintain stamina for endurance sports like cycling, hiking, and cross-country skiing.","['Dressed Fruits', 'Dried Pineapples', 'Food Retail', 'Food Production', 'Drying Process', 'Tropical Dried Fruits', 'Dried Mangoes']",Manufacturing,Fruit & Vegetable - Markets & Stores,Dried and Dehydrated Food Manufacturing,"['Confectionery Manufacturing', 'Non-Alcoholic Beverage Manufacturing', 'Coffee Processing Services', 'Food Safety Services', 'Canning Services', 'Food Processing Services', 'Agricultural Equipment Services', 'Commercial Irrigation Systems', 'Bakery Production Services', 'Frozen Food Processing']","[0.33238506, 0.25868708, 0.2405692, 0.22666718, 0.22349069, 0.22299525, 0.22292909, 0.21757519, 0.21520045, 0.21449086]","{'Confectionery Manufacturing': 0.0008042811532504857, 'Non-Alcoholic Beverage Manufacturing': 0.012130461633205414, 'Coffee Processing Services': 0.00352896424010396, 'Food Safety Services': 0.01105060987174511, 'Canning Services': 0.003986946307122707, 'Food Processing Services': 0.16153979301452637, 'Agricultural Equipment Services': 0.0039013067726045847, 'Commercial Irrigation Systems': 0.003310318337753415, 'Bakery Production Services': 0.005928572732955217, 'Frozen Food Processing': 0.004153172019869089}",[]
"Coma Rico is a restaurant located in Cali, Valle del Cauca, Colombia. It offers various dining options including dine-in, takeout, and delivery services. The establishment is described as casual and cozy, and it is suitable for groups and families with children.","['Cozy Atmosphere', 'Takeout Services', 'Lunch Service', 'Restaurant', 'Bathroom Facilities', 'Dine-in Service', 'Casual Atmosphere']",Services,Restaurants,Full-Service Restaurants,"['Catering Services', 'Coffee Processing Services', 'Confectionery Manufacturing', 'Commercial Construction Services', 'Bakery Production Services', 'Corporate Responsibility Services', 'Food Processing Services', 'Seafood Processing Services', 'Travel Services', 'Veterinary Health Centers']","[0.25707835, 0.24985522, 0.23797347, 0.22678445, 0.21868598, 0.20297197, 0.19809355, 0.1950092, 0.18554449, 0.1765941]","{'Catering Services': 0.0035543274134397507, 'Coffee Processing Services': 0.002643090905621648, 'Confectionery Manufacturing': 0.0007651833584532142, 'Commercial Construction Services': 0.007897455245256424, 'Bakery Production Services': 0.001584461540915072, 'Corporate Responsibility Services': 0.014799072407186031, 'Food Processing Services': 0.0029768510721623898, 'Seafood Processing Services': 0.004296798724681139, 'Travel Services': 0.004233288578689098, 'Veterinary Health Centers': 0.0007268560002557933}",[]
"Gemini Beauty is a company that offers a variety of makeup, skincare, and hair products. Their makeup line includes items such as lip oil, liquid lipstick matte, liquid concealer, facial contour, compact illuminator, powder finisher armor, transparent powder, banana powder, eyeliner pen, eyelash mascara, false eyelashes, face masks, false eyebrow glue, and false eyelash 5D mink. They also offer hair products such as hair brush powder, hair brush drop, hairbrush racket, and Venus Eyeshadow Palette.","['Kits 2 Powder Sponges', 'Facial Cleansing Sponges', 'Compact Illumination', 'Lip Oil', 'Band Of Brothers', 'Hair Powder', 'Face Contour Products', 'Venus Eyeshadow Palette', 'Liquid Concealer', 'Face Masks', 'Mermaid Brushes Kit', 'Eyelash Mascara Extends and Define', 'Ruby Angel', 'Coconut Chamomile Micellar Water', 'Liquid Base', '5D Mink Luxury False Eyelashes', 'Translucent Powder', 'Mermaid Eyeliner Pen', 'My Beauty Tool', 'Black Power Eye Pencil', 'Banana Powder', 'Asu Makeup', 'Powder Finisher Armor', 'Beauty Products Retailer', 'Summer Satin Hat']",Retail,Cosmetics Stores,"Cosmetics, Beauty Supplies, and Perfume Retailers","['Cosmetic Manufacturing', 'Branding Services', 'Pet Grooming Services', 'Spray Painting Services', 'Graphic Design Services', 'Painting Services', 'Marketing Services', 'Online Marketing Services', 'Interior Design Services', 'Carpentry Services']","[0.48294795, 0.3693544, 0.3096993, 0.30930847, 0.30238184, 0.2986989, 0.2965502, 0.28906226, 0.2754231, 0.25790665]","{'Cosmetic Manufacturing': 0.2796317934989929, 'Branding Services': 0.021636439487338066, 'Pet Grooming Services': 0.0029724875930696726, 'Spray Painting Services': 0.007912992499768734, 'Graphic Design Services': 0.004609272349625826, 'Painting Services': 0.004492286592721939, 'Marketing Services': 0.014886298216879368, 'Online Marketing Services': 0.007142402231693268, 'Interior Design Services': 0.0017128734616562724, 'Carpentry Services': 0.001208881614729762}",[]
"SellerGroup is a company that specializes in promotional and office products. They offer unique office solutions and customized furniture designs for office spaces, including desks, chairs, and conference tables. They also provide ergonomic solutions for a better work environment with their ErgoDesk and CleanDesk products. SellerOffice develops and sells unique solutions for office workspaces, while ActiveOffice offers special products for creating an active working environment. Additionally, they provide information and advice on office design.","['Office Furniture Design and Manufacturing', 'Workplace Solutions', 'Hygiene Products', 'Promotional Products with Logos', 'Desk Cleaning', 'Branding Services', 'Branding Enhancement', 'Conference Tables']",Manufacturing,Office Furniture,Wood Office Furniture Manufacturing,"['Furniture Manufacturing', 'Carpet Manufacturing Services', 'Accessory Manufacturing', 'Cabinetry Manufacturing', 'Stationery Manufacturing', 'Paper Production Services', 'Wood Product Manufacturing', 'Interior Design Services', 'Marketing Services', 'Carpentry Services']","[0.5933636, 0.4708303, 0.45095083, 0.44836017, 0.44247922, 0.4419037, 0.4171182, 0.40740067, 0.40592152, 0.3916612]","{'Furniture Manufacturing': 0.7435628175735474, 'Carpet Manufacturing Services': 0.0008622747263871133, 'Accessory Manufacturing': 0.021197399124503136, 'Cabinetry Manufacturing': 0.0021184284705668688, 'Stationery Manufacturing': 0.0013012571725994349, 'Paper Production Services': 0.003623075084760785, 'Wood Product Manufacturing': 0.8955352306365967, 'Interior Design Services': 0.005654385779052973, 'Marketing Services': 0.0811736211180687, 'Carpentry Services': 0.000850776385050267}","['Furniture Manufacturing', 'Wood Product Manufacturing']"
"Ural Metallurgical Company is a production group that specializes in mechanical processing of metal, including non-ferrous metallurgy and forging manufacturing. They are also one of the largest metal traders in the Siberian Ural region. The company offers a wide range of metalworking services such as turning, milling, and high-precision machining on equipment with numerical control. They maintain a stock of metal for production of ingots weighing up to 250 kg and can manufacture ingots using customer materials. The customer's metal will only be accepted if there is a certificate by manufacturer marked ""for hot processing"" which can be put into production after receiving input control. The main suppliers of metal are JSC ""Elektrostal"", JSC “Izhstal” and Mechel, Serov Metallurgical Plant (Jsc), Zlatoust Metalworking Factory.","['Ferrous Metallurgy Services', 'Obtaining Blanks', 'Metal Products', 'Metal Trading Services', 'Plasma Cutting', 'Calibrated Circles', 'Titanium Alloy', 'Metal Rivets', 'Advanced Numerical Control Equipment', 'Forging Manufacturing Services', 'Metal Bushings', 'Serial Production and Testing', 'Stripe', 'Carbon Steels', 'Structure Creation', 'Self Tapping Screw', 'Equipment Manufacturer', 'Lathe Processing Services', 'Design Documentation', 'Round G/K', 'Metal Sheet Reinforcement Solutions', 'Wire', 'Metal Washers', 'Technology Elaboration', 'Stainless Steel Forgings', 'Aluminum', 'Paper Tape', 'Precision Machining']",Manufacturing,Forging & Metal Stampings,Iron and Steel Forging,"['Sheet Metal Services', 'Chemical Manufacturing', 'Plastic Manufacturing', 'Welding Services', 'Grain Processing Services', 'Pallet Manufacturing', 'Bedding Manufacturing', 'Non-Structural Steel Fabrication', 'Textile Manufacturing Services', 'Rubber Manufacturing']","[0.52970463, 0.49327534, 0.4425058, 0.4290539, 0.42895466, 0.417619, 0.41176388, 0.41021287, 0.40769324, 0.40310872]","{'Sheet Metal Services': 0.4662337005138397, 'Chemical Manufacturing': 0.0031030289828777313, 'Plastic Manufacturing': 0.005920714698731899, 'Welding Services': 0.016271943226456642, 'Grain Processing Services': 0.00950168538838625, 'Pallet Manufacturing': 0.03515006601810455, 'Bedding Manufacturing': 0.021005606278777122, 'Non-Structural Steel Fabrication': 0.393096923828125, 'Textile Manufacturing Services': 0.0039692893624305725, 'Rubber Manufacturing': 0.013141926378011703}","['Sheet Metal Services', 'Non-Structural Steel Fabrication']"
"Tiga Putra Farm is a cattle farm located in Sidoarjo, East Java, Indonesia.","['Cattle Breeding and Raising Services', 'Agriculture']",Wholesale,Livestock & Animal Raising,Livestock Merchant Wholesalers,"['Livestock Dealer Services', 'Agricultural Equipment Services', 'Grain Processing Services', 'Animal Feed Manufacturing', 'Dairy Production Services', 'Meat Processing Services', 'Agricultural Machinery Installation', 'Timber Harvesting Operations', 'Ornamental Plant Nurseries', 'Food Processing Services']","[0.45791465, 0.40448108, 0.37718862, 0.36009753, 0.35873973, 0.33551842, 0.3285259, 0.32560688, 0.32013416, 0.31538457]","{'Livestock Dealer Services': 0.01826612465083599, 'Agricultural Equipment Services': 0.0013319719582796097, 'Grain Processing Services': 0.0003108720702584833, 'Animal Feed Manufacturing': 0.0007145072449930012, 'Dairy Production Services': 0.0009484500042162836, 'Meat Processing Services': 0.0011348435655236244, 'Agricultural Machinery Installation': 0.0003452713426668197, 'Timber Harvesting Operations': 7.605842256452888e-05, 'Ornamental Plant Nurseries': 0.00011269990500295535, 'Food Processing Services': 0.0003287069848738611}",[]
"Suffolk Firewood & Arborsculpture is a carpentry company located in Martlehsam that offers a range of high-quality services including kitchen fittings, joinery, furniture repair and reassembly, wood wall panelling, and windows and doors. They specialize in bespoke wood designs and ideas, and offer custom windows and door crafting at an affordable price. The company prides itself on providing excellent customer service from start to finish.","['Hardwood Firewood Supplier', 'Carpentry Works']",Retail,Firewood Supplier,Fuel Dealers,"['Wood Product Manufacturing', 'Timber Harvesting Operations', 'Carpentry Services', 'Furniture Manufacturing', 'Cabinetry Manufacturing', 'Millwork Services', 'Rope Production Services', 'Fishing and Hunting Services', 'Insulation Services', 'Welding Services']","[0.6016961, 0.5443108, 0.5149252, 0.49159572, 0.48974782, 0.43560824, 0.41961524, 0.40133226, 0.39836586, 0.39159414]","{'Wood Product Manufacturing': 0.09461106359958649, 'Timber Harvesting Operations': 0.0012728780275210738, 'Carpentry Services': 0.5779193043708801, 'Furniture Manufacturing': 0.0040415264666080475, 'Cabinetry Manufacturing': 0.003361536655575037, 'Millwork Services': 0.00650689797475934, 'Rope Production Services': 0.0015618216712027788, 'Fishing and Hunting Services': 0.0008111392380669713, 'Insulation Services': 0.005827608983963728, 'Welding Services': 0.00210482906550169}",['Carpentry Services']
"Tobaccotoday is a full-service marketing and advertising agency that has been partnering with clients for over 10 years to help them achieve their business goals and keep their customers satisfied. They offer a range of services, including internet marketing consulting and traditional marketing consulting, as well as designing and implementing various forms of marketing collateral. With a proven track record of helping companies find the most effective advertising channels for their products or services, Tobaccottoday can assist in determining the best ways to invest marketing dollars to reach your audience. Whether you need an internet marketing consultant or want to revamp your marketing approach, Tobacco Today is here to assist.","['Domain Name Sales Services', 'Domain Registration Services']",Wholesale,Tobacco,Tobacco Product and Electronic Cigarette Merchant Wholesalers,"['Marketing Services', 'Online Marketing Services', 'Digital Marketing Services', 'Market Research Services', 'Advertising Services', 'Branding Services', 'Real Estate Services', 'Consulting Services', 'Technology Consulting', 'Livestock Dealer Services']","[0.50807375, 0.5028219, 0.48846582, 0.46560118, 0.46215492, 0.42490894, 0.3909682, 0.38051876, 0.36554578, 0.36533415]","{'Marketing Services': 0.8423327803611755, 'Online Marketing Services': 0.7798534631729126, 'Digital Marketing Services': 0.5025306940078735, 'Market Research Services': 0.19495944678783417, 'Advertising Services': 0.5350013375282288, 'Branding Services': 0.44519707560539246, 'Real Estate Services': 0.01964006945490837, 'Consulting Services': 0.7130917906761169, 'Technology Consulting': 0.11740243434906006, 'Livestock Dealer Services': 0.007068028207868338}","['Marketing Services', 'Online Marketing Services', 'Digital Marketing Services', 'Advertising Services', 'Branding Services', 'Consulting Services']"
